target_id,target_label,anchor,effective_frame_class,origins,current_stage,current_outcome,review_state,publication_ceiling,reconciliation_note
R1:N:great_zimbabwe_1400,Great Zimbabwe,1400,node_site,EXP-07;EXP-08,researched_internal,researched_inconclusive_slavery_with_supported_collective_labor_dependency_and_external_slave_trade_context,internal_research_not_independent,internal_research_only_paused,EXP-08 subject research extends EXP-07 qualification; qualification remains frame/anchor basis
R1:N:ifugao_1700,"Ifugao communities, northern Luzon",1700,region_community,EXP-07,qualification_complete,QUALIFIED_C1_READY,internal_qualification_review,qualification_only_noncanonical,subject research not started
R1:N:incense_m100,Incense Route network,-100,mobile_network,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:N:inuit_arctic_1800,Inuit Arctic communities,1800,region_community,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:N:maori_1700,Māori communities in Aotearoa,1700,region_community,EXP-07;EXP-08,researched_internal,bounded_supported_precontact_war_captive_unfreedom_with_exact_1700_distribution_unresolved,internal_research_not_independent,internal_research_only_paused,EXP-08 subject research extends EXP-07 qualification; qualification remains frame/anchor basis
R1:N:mongol_yam_1300,Mongol Yam/postal network,1300,mobile_network,EXP-06,researched_internal,bounded_supported_compulsory_relay_service_with_slavery_separate,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,
R1:N:nalanda_700,Nalanda Mahavihara,700,institution_estate,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:N:shaolin_1000,Shaolin Monastery,1000,institution_estate,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:N:swahili_1400,Swahili maritime trade network,1400,mobile_network,EXP-07,qualification_complete,QUALIFIED_C1_READY,internal_qualification_review,qualification_only_noncanonical,subject research not started
R1:N:yaghan_1800,"Yaghan communities, Tierra del Fuego",1800,region_community,EXP-06,researched_internal,researched_inconclusive_internal_practice_with_external_captivity_context,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,
R1:P:-2000:C:r1,Middle Kingdom of Egypt,2000 BCE,historical_period_polity,R1,review_complete,R1_reviewed_classified,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:-2000:D:r1,Sumerian City-States,2000 BCE,polity_aggregate,EXP-04,researched_internal,bounded_supported_with_transition_and_category_boundaries,internal_experiment_adversary_not_independent,internal_research_only,
R1:P:-2000:E:r1,Indus Valley Civilization,2000 BCE,civilization_region,EXP-04,under_review,unassessed,internal_experiment_adversary_not_independent,internal_research_only,row remains under_review
R1:P:-500:C:r1,Kingdom of Kush,500 BCE,polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:-500:E:r1,Magadha - Haryanka dynasty,500 BCE,dynastic_polity,EXP-06,under_review,bounded_supported_mid_first_millennium_slavery_context_exact_anchor_dynasty_uncertain,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,row remains under_review; exact anchor/dynastic chronology unresolved
R1:P:-500:F:r1,Cai,500 BCE,polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:-500:F:r2,Qi,500 BCE,polity,EXP-07;EXP-08,frozen_unstarted,,none,internal_research_only_paused,EXP-07 qualification remains current frame basis; EXP-08 subject research not started
R1:P:1300:A:r1,Later Mayan City-States,1300 CE,polity_aggregate,EXP-06,researched_internal,bounded_supported_mayapan_locus_with_aggregate_and_retrospective_source_limits,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,
R1:P:1300:C:r1,Mali Empire,1300 CE,polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:1300:F:r1,Khmer Empire,1300 CE,polity,EXP-06,researched_internal,bounded_supported_capital_core_exact_anchor_with_polity_extent_limit,internal_experiment_adversary_not_independent,exp06_noncanonical_publish_candidate,shares exact Lustig & Lustig 2013 source family with Angkor 1200; no independence claim across those rows
R1:P:1800:C:r1,Ethiopian Empire,1800 CE,imperial_title_fragmented_sovereignty,EXP-04,researched_internal,bounded_supported_with_fragmented_sovereignty,internal_experiment_adversary_not_independent,internal_research_only,
R1:P:1800:E:r1,Khanate of Kokand,1800 CE,polity,EXP-07,qualification_complete,QUALIFIED_C1_READY,internal_qualification_review,qualification_only_noncanonical,subject research not started
R1:P:500:A:r1,Teotihuacan,500 CE,urban_polity_site,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:500:C:r1,Nobatia,500 CE,polity,EXP-07;EXP-08,researched_internal,bounded_supported_royal_retainer_sacrifice_with_slave_status_unresolved,internal_research_not_independent,internal_research_only_paused,EXP-08 subject research extends EXP-07 qualification; qualification remains frame/anchor basis
R1:P:500:D:r1,Lazica,500 CE,polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
R1:P:500:E:r1,Kalabhra Dynasty,500 CE,polity,EXP-07,qualification_complete,HOLD_IDENTITY_OR_TIME,internal_qualification_review,qualification_only_noncanonical,identity/chronology hold before subject research
R1:P:500:F:r1,Tamna,500 CE,island_polity,R1,review_complete,R1_reviewed_inconclusive,internally_adversarially_reviewed,R1_candidate_HOLD_NO_RELEASE,frozen R1 reviewed state; later experiments do not rewrite it
