target_id,target_label,source_anchor,research_state,classification_outcome,interpretation,qa_state,effective_frame_class,identity_limitation,bounded_proposition,required_abstention,evidence_locus,inference_extent,temporal_state,temporal_display_rule,law_practice_note,network_territorial_note,language_access_limitations,coverage_confidence
R1:L:COV2:1300:E,Pandya Empire,1300,reviewed_inconclusive,inconclusive,,validated,polity,Frozen source-native polity interval contains the anchor.,"Medieval Tamil South India around the thirteenth century contains secure inscriptional evidence of slave sale, temple/monastery slaveholding and hereditary unfree service. A deeper Pandya-specific check recovered substantial contemporary Pandya epigraphic corpora but did not recover the missing source-level synchronization between the decisive slave-status records and the frozen Pandya Empire frame at exactly 1300 CE. The release therefore preserves strong contemporary regional slavery context but does not publish a Pandya-1300 territorial-practice claim.","Do not equate Tamil country with the Pandya polity, absorb contemporary Thanjavur slave inscriptions into Pandya rule without source-level date/jurisdiction synchronization, treat devotional servitude language as literal slavery, or read the unresolved target fit as absence.","medieval Tamil-country temple and monastery inscriptions, especially Thanjavur district; not yet securely bounded to the Pandya Empire at 1300",contemporary regional slavery/dependency context only; no Pandya-wide or selected-year territorial-practice classification,unknown,Contemporary Tamil slavery context is not synchronized tightly enough to the Pandya 1300 polity frame.,Temple sale/gift records support bounded statuses and transactions; they do not establish a single empire-wide legal regime.,,"English-language specialist synthesis grounded in Tamil inscriptions was reviewed. The underlying Tamil epigraphic corpus was not exhaustively re-read inscription by inscription for contemporaneous Pandya jurisdiction, and that unresolved spatial synchronization is decisive.",moderate
R1:L:viking_900,Viking trade network,900,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,mobile_network,Network is not one society or territorial jurisdiction.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:angkor_1200,Angkor,1200,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated,node_site,Capital/site complex; no empire-wide inference from the archaeological park boundary.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:gao_1500,Gao,1500,reviewed_classified,classified,,validated,node_site,City/site locus; not identical to the entire Songhai Empire.,"Specialist synthesis of Songhay sources supports large-scale captive enslavement around the Gao-centered empire, including many captives brought to Gao after Askia Muhammad's 1498 Mossi campaign. Early-sixteenth-century eyewitness-derived material also describes slave sale and enslaved people at Gao. This supports a bounded Gao-level slavery/slave-market claim close to the 1500 anchor.","Do not turn near-anchor 1498/early-sixteenth-century evidence into exact annual 1500 prevalence, and do not infer uniform slaveholding or one prevalence level across the whole Songhay Empire.",Gao and Gao-centered Songhay court/market context,"Gao-level presence, captive influx and market/court slavery; no empire-wide prevalence estimate",supported_near_anchor_approximate,May be surfaced near the 1500 anchor only with approximate/near-anchor labeling; do not imply exact-year observation.,Songhay Islamic legal restrictions on enslaving Muslims qualify acquisition practices but do not negate documented enslavement.,Trans-Saharan movement is separate from Gao-local practice/market evidence.,English-language specialist synthesis and translated early account reviewed; local chronicles/Arabic/Italian transmission not independently re-edited here.,moderate_high
R1:N:great_lavra_1100,"Great Lavra, Mount Athos",1100,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,institution_estate,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:great_zimbabwe_1400,Great Zimbabwe,1400,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,node_site,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:hanseatic_1400,Hanseatic League network,1400,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,mobile_network,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:ifugao_1700,"Ifugao communities, northern Luzon",1700,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,region_community,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:incense_m100,Incense Route network,-100,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,mobile_network,"Multi-route, changing trade network; any display geometry is schematic and never territorial.","First-millennium Arabian epigraphy supports some enslavement, sale and captive/property relations in societies connected to trans-Arabian commerce, while Minaean inscriptions independently document traders using major caravan stopovers such as Ḥimā. The reviewed packet does not establish that enslaved people were themselves a documented commodity moving along the Incense Route around 100 BCE.",Do not infer a slave-trading network from the conjunction of slavery in South Arabia and Minaean caravan commerce; do not paint the route or polities crossed by it as slave-trading territory.,South Arabian/North Arabian epigraphic contexts and specific caravan nodes such as Ḥimā,no route-wide slave-traffic claim; network relation remains unresolved,unknown,Do not render route-wide positive slave traffic at 100 BCE.,,"Explicit network frame. Trade-route connectivity is not territorial practice, and slavery in connected societies is not evidence of slave movement along every corridor.",Modern English specialist scholarship reviewed; ancient South/North Arabian epigraphy is interpreted through specialist publications rather than independently translated.,moderate
R1:N:indian_ocean_1400,Indian Ocean trade network,1400,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,mobile_network,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:inuit_arctic_1800,Inuit Arctic communities,1800,reviewed_inconclusive,inconclusive,,validated_with_frame_limitation,region_community,"Very broad multi-community/circumpolar frame with different colonial-contact histories; no single society, jurisdiction, or uniform institution may be inferred.","Eighteenth-century evidence supports specific cases in which Inuit people in southern Labrador and west of Hudson Bay were captured, transferred or enslaved by colonial and neighboring Indigenous actors. This supports bounded external-enslavement/captive relations, but the reviewed packet does not establish a circumpolar Inuit institution of internal slavery or a territorial-practice state at the 1800 anchor.","Do not generalize Labrador/Hudson Bay cases to all Inuit Arctic communities, do not infer internal Inuit slaveholding from Inuit people being enslaved by others, and do not project eighteenth-century episodes into exact selected-year 1800 continuity.",southern Labrador and west-of-Hudson-Bay interactions/fort contexts,bounded external/captive relations for specific places and actors; circumpolar/internal territorial practice unknown,unknown,Do not render positive circumpolar/internal territorial practice at 1800.,,Colonial/intercommunity captivity and transfer are external/network relations unless separate evidence supports internal territorial practice.,English-language specialist scholarship reviewed; broad circumpolar and non-English/Indigenous-source coverage is incomplete.,limited
R1:N:ise_1000,Ise Grand Shrine,1000,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,institution_estate,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:kalahari_san_1800,Kalahari San communities,1800,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,region_community,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:karnak_amun_m1000,Temple of Amun at Karnak,-1000,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,institution_estate,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:maori_1700,Māori communities in Aotearoa,1700,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,region_community,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:mongol_yam_1300,Mongol Yam/postal network,1300,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,mobile_network,Imperial/postal network varied by khanate and period; route/station extent must be source-specific.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:nalanda_700,Nalanda Mahavihara,700,reviewed_inconclusive,inconclusive,,validated,institution_estate,Scholastic/monastic institution; site geometry is not territorial jurisdiction.,"Seventh-century evidence synthesized for Nālandā describes an endowed monastic economy supported by villages and, for its agricultural estates, a likely sharecropping/tenancy system. Yijing also criticized some Indian monasteries for using their own servants and slaves in cultivation, showing that such labour existed in the broader monastic world; the reviewed packet does not establish that practice specifically at Nālandā around 700 CE.","Do not project generic Indian Buddhist monastic slaveholding onto Nālandā, do not relabel tenant/sharecropper relations as slavery or corvée, and do not treat target-specific tenancy evidence as proof that slavery was absent from every part of the institution.",Nālandā's endowed estates and monastic support system; broader Indian monasteries for the generic servants/slaves comparison,target-specific tenancy/sharecropping context only; no Nālandā slavery-practice classification,unknown,Generic monastic servants/slaves context does not create a Nālandā 700 CE positive.,Vinaya/monastic normative criticism is kept separate from actual practice at Nālandā.,,English-language modern scholarship reviewed; Yijing's Chinese text and Indic legal/epigraphic materials were accessed through specialist translation/interpretation rather than independently re-edited.,moderate
R1:N:samarkand_1400,Samarkand,1400,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,node_site,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:sapmi_1600,Sápmi / Sámi communities,1600,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,region_community,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:shaolin_1000,Shaolin Monastery,1000,reviewed_inconclusive,inconclusive,,validated,institution_estate,Institution/site locus; broader holdings or dependencies require separate evidence.,"Shaolin is securely documented as an important medieval Buddhist monastery and as having received a substantial estate in the Sui period. Broader Chinese Buddhist institutions could use tenants, captive dependants and slaves, but the reviewed packet does not establish Shaolin-specific slave ownership or slave labour at the 1000 CE anchor.","Do not infer Shaolin slaveholding at 1000 from an earlier estate grant, from generic Chinese Buddhist monastic labour patterns, or from slavery documented at other monasteries such as Dunhuang institutions.",Shaolin estate for target-specific landholding; other Chinese Buddhist monasteries/Dunhuang for slavery context,no Shaolin slavery claim at 1000 CE,unknown,Do not render positive selected-year slavery at 1000 CE.,,,English-accessible scholarship reviewed; no target-specific Song-period Shaolin labour register or equivalent source located in the bounded packet.,limited_moderate
R1:N:swahili_1400,Swahili maritime trade network,1400,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,mobile_network,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:tenochtitlan_1500,Tenochtitlan,1500,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,node_site,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:timbuktu_1500,Timbuktu,1500,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,node_site,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:todaiji_800,Tōdai-ji,800,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,institution_estate,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:trans_saharan_1300,Trans-Saharan trade network,1300,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,mobile_network,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:N:yaghan_1800,"Yaghan communities, Tierra del Fuego",1800,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,region_community,Community/ethnonym and archipelago frame; no single territorial polity or fixed boundary.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-2000:C:r1,Middle Kingdom of Egypt,2000 BCE,reviewed_classified,classified,,validated,historical_period_polity,None material to target identity at this anchor.,"For the Middle Kingdom, specialist Egyptology distinguishes free lower-status people, servants, conscripts and fugitives from enslavement; foreign prisoners could be explicitly enslaved. The reviewed packet therefore supports a bounded claim of slavery through foreign-prisoner enslavement around the Middle Kingdom, while other dependent labour categories remain distinct.","Do not translate every hm/bak servant, conscript, dependent worker or coerced labourer into a slave, and do not infer a widespread hereditary chattel-slavery system or prevalence level from this evidence.",Middle Kingdom Egyptian documentary/literary and institutional context,Middle Kingdom Egypt only at the level supported by specialist synthesis; no numeric or universal prevalence inference,supported_period_level,May be visible at the 2000 BCE anchor only with period-level precision; do not imply an event dated exactly to 2000 BCE.,The packet distinguishes statuses and enslavement categories; it does not quantify legal uniformity or compliance.,,English-accessible specialist synthesis reviewed; underlying Egyptian terminology is mediated through Egyptological interpretation rather than independently retranslated here.,moderate
R1:P:-2000:D:r1,Sumerian City-States,2000 BCE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,polity_aggregate,Aggregate of multiple Sumerian city-state polities around a transition period; never treat as one sovereign territorial polity.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-2000:D:r2,Elam,2000 BCE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-2000:E:r1,Indus Valley Civilization,2000 BCE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,civilization_region,"Civilization/archaeological-cultural frame, not one demonstrated sovereign polity; territorial inference must remain bounded.",,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-500:C:r1,Kingdom of Kush,500 BCE,reviewed_inconclusive,inconclusive,,validated,polity,Anchor falls in the Kushite/Napatan kingdom; later Meroitic phase must not be back-projected.,"Napatan Kushite royal texts securely attest prisoners of war and the assignment of some captives as male and female temple servants in the late seventh century BCE, while early- and later-fourth-century royal records again attest men and women taken as booty or assigned to Amun. The reviewed packet therefore establishes captive incorporation/servile dependency in Napatan Kush on both sides of the 500 BCE anchor, but does not by itself establish a slavery or servile-practice state exactly at 500 BCE.","Do not fill the interval between separated attestations, translate every Egyptian-language 'servant' term into chattel slavery, or infer prevalence, hereditary status, or a continuous territorial institution at 500 BCE from prisoner/booty lists.",Kushite royal war/spoil inscriptions and temple allocations in Napatan Kush,bounded captive incorporation and temple-servant assignments in attested episodes; no continuous 500 BCE or prevalence inference,unknown,Separated pre/post-anchor captive attestations do not fill 500 BCE.,Royal donation/spoil language records state/temple action but does not by itself define a uniform legal status for every captive.,,English-language specialist interpretation reviewed; Egyptian-language terms and royal inscriptions were not independently retranslated for this tranche.,moderate
R1:P:-500:D:r1,Macedonian Empire,500 BCE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-500:D:r2,Peloponnesian League,500 BCE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-500:E:r1,Magadha - Haryanka dynasty,500 BCE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,dynastic_polity,"Early Magadhan dynastic chronology is tradition-dependent and contested; treat 500 BCE as approximate anchor, not exact regnal dating.",,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-500:E:r2,Janapada of Avanti,500 BCE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:-500:F:r1,Cai,500 BCE,reviewed_inconclusive,inconclusive,,validated,polity,None material to target identity at anchor.,"Specialist scholarship supports slavery/bondservant categories and changing transfer or sale practices in the broader late Spring-and-Autumn / early Warring-States world, including discussion of chenqie in transmitted sources. The bounded search did not recover Cai-specific evidence sufficient to establish a slavery/coercion practice at the 500 BCE anchor.","Do not project evidence from Qin, the Zhou world generally, or other named states onto Cai merely because Cai participated in the same interstate system; regional social categories are context, not Cai territorial evidence.","broader early-China legal, inscriptional and transmitted-text evidence; no decisive Cai-specific locus recovered",regional context only; no Cai territorial-practice inference,unknown,Broader early-China slavery context does not create a Cai 500 BCE state.,Later Qin legal evidence and earlier Zhou status terminology are not silently treated as Cai law or practice.,,English-accessible specialist scholarship reviewed. This was not an exhaustive Chinese-language Cai-specific epigraphic or transmitted-text review; that access/language gap materially limits coverage confidence.,limited_moderate
R1:P:-500:F:r2,Qi,500 BCE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:A:r1,Later Mayan City-States,1300 CE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,polity_aggregate,Multi-polity Postclassic Maya aggregate; no single territorial jurisdiction or uniform practice may be inferred.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:A:r2,Puebloans - Aztec Regional System,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:C:r1,Mali Empire,1300 CE,reviewed_inconclusive,inconclusive,,validated,polity,Imperial extent changes over time; selected-year geometry must remain year-specific.,"Near the 1300 CE anchor, the later Ibn Khaldun tradition identifies Sākūra as a mawlā/client of the ruling house, and later Mande traditions preserve servile language around Sekure/Sākūra. Modern specialists show that the Arabic term, the later oral terminology and the reconstructed early-Mali kinglist do not support an unqualified slave-status translation. The release therefore preserves a possible servile/client origin as an unresolved individual-status question and does not publish a positive Mali-wide slavery-practice state for 1300.","Do not translate mawlā mechanically as slave, treat later Mande servile terminology as an exact thirteenth-century legal category, infer territorial prevalence from one ruler's possible background, or project better-attested mid-fourteenth-century slavery backward to 1300.",Sākūra/Sekure status traditions and early-Mali royal chronology,possible individual servile/client origin only pending C2; no Mali-wide territorial-practice inference,unknown,Sākūra status uncertainty and later evidence do not create a Mali 1300 territorial state.,No legal-status regime is inferred from the title/status vocabulary alone.,,"English-language translations and specialist scholarship reviewed; Arabic mawlā and Mande servile terminology are interpreted through published specialists, and the oral corpus is later and geographically selective.",moderate_limited
R1:P:1300:C:r2,Makuria,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:D:r1,Grand Duchy of Lithuania,1300 CE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated,polity,Territorial extent is historically changing; identity itself is valid.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:D:r2,Duchy of the Archipelago,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:E:r1,Lan Na Kingdom,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:E:r2,Kampili Kingdom,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:F:r1,Khmer Empire,1300 CE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated,polity,Angkor is a capital/site locus; empire-wide geometry must not be inferred from the site boundary.,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1300:F:r2,Kamakura Shogunate,1300 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:A:r1,French Louisiana,1800 CE,held,unassessed,Registered target; historical slavery/coercion research not yet performed.,ambiguous_requires_C2_or_hold,jurisdiction_title_transition,"Treaty of San Ildefonso in 1800 created a French title/cession claim, but Spanish administration and actual delivery to France continued until 1803. Annual anchor cannot safely collapse title, possession and governance.",,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:A:r2,Kingdom of Hawaï'i,1800 CE,c0_only,unassessed,Registered target; historical slavery/coercion research not yet performed.,,polity,,,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
R1:P:1800:C:r1,Ethiopian Empire,1800 CE,planned_unresearched,unassessed,Registered target; historical slavery/coercion research not yet performed.,validated_with_frame_limitation,imperial_title_fragmented_sovereignty,"At 1800 the Solomonic imperial institution persists during Zemene Mesafint, but effective sovereignty is fragmented among regional lords; do not infer uniform imperial territorial practice.",,,,,unassessed_not_researched,Frozen research anchor only; no subject-time inference because C1 subject research was not performed.,,,,
