target_id,source_version_ref,title,url,locator,independence_group,direction,decisive
R1:L:cahokia_1200,doi:10.1002/ajpa.22791,New dental and isotope evidence of biological distance and place of origin for mass burial groups at Cahokia's Mound 72,https://doi.org/10.1002/ajpa.22791,abstract/results,cahokia-mound72-isotopes,challenges_and_qualifies,true
R1:L:cahokia_1200,doi:10.1002/ajpa.22282,"Odontometric determination of sex at Mound 72, Cahokia",https://doi.org/10.1002/ajpa.22282,Am J Phys Anthropol 151(3):408–419,thompson-odontometric,qualifies_challenges,false
R1:L:cahokia_1200,doi:10.1017/S0002731600003929,Paradigms Lost: Reconfiguring Cahokia’s Mound 72 Beaded Burial,https://doi.org/10.1017/S0002731600003929,American Antiquity 81(3):405–425,emerson-mound72-reanalysis,qualifies_challenges,false
R1:L:al_azhar_1100,JSTOR:jj.33382246,Slavery and the Jews of Medieval Egypt: A History,https://www.jstor.org/stable/jj.33382246,introductory Fatimid/Cairo discussion and slave-market chapters,perry-medieval-egypt,context_and_supports_cairo,true
R1:P:-500:C:r1,doi:10.5070/D68061376,Gender as Frame of War in Ancient Nubia,https://doi.org/10.5070/D68061376,"§2.1; Taharqa, Anlamani, Harsiyotef and Nastasen passages",matic-kush-war-captives,supports_and_qualifies,true
R1:P:-500:C:r1,doi:10.1163/9789004294011_008,The Kingdom of Kush between the Withdrawal from Egypt and the End of the 'Napatan' Dynasty (from 656 to the mid-3rd cent. BC),https://doi.org/10.1163/9789004294011_008,pp.342–408,torok-kush-handbook,context,false
R1:P:-500:F:r1,doi:10.1163/156852301100402723,Slavery in Early China: A Socio-Cultural Approach,https://doi.org/10.1163/156852301100402723,"Journal of East Asian Archaeology 3(1), pp.283–331; discussion of chenqie and late Spring-and-Autumn / early Warring-States change",yates-early-china,context_and_qualifies,true
R1:P:500:D:r1,Procopius-Wars-II.15.4-5-Dewing,"History of the Wars, Books I–II (Persian Wars II.15.4–5)",https://penelope.uchicago.edu/Thayer/E/Roman/Texts/Procopius/Wars/2D*.html,Wars II.15.4–5,procopius-lazica-trade,supports,true
R1:P:500:D:r1,doi:10.1017/S0009838800003682,Procopius on the Economy of Lazica,https://doi.org/10.1017/S0009838800003682,"Classical Quarterly 41(1), pp.221–225",procopius-lazica-trade,supports_and_qualifies,true
R1:P:500:D:r1,doi:10.1017/S0009838800040519,The Export of Slaves from Colchis,https://doi.org/10.1017/S0009838800040519,"Classical Quarterly 39(1), pp.114–125",colchis-multi-period-export-synthesis,supports_and_qualifies,false
R1:N:nalanda_700,doi:10.3390/rel17060746,Non-Exhaustible Endowment for the Dharma: A Preliminary Study of the Support Mechanism at Nālandā Mahāvihāra,https://doi.org/10.3390/rel17060746,"discussion of Yijing, tenancy/sharecropping and servants/slaves; Nālandā one-sixth share reconstruction",yijing-nalanda-institutional-record,supports_and_qualifies,true
R1:N:nalanda_700,isbn:9781498554923,"Buddhist Learning in South Asia: Education, Religion, and Culture at the Ancient Śrī Nālandā Mahāvihāra",https://www.bloomsbury.com/us/buddhist-learning-in-south-asia-9781498554947/,chapters on monastic organization and life,yijing-nalanda-institutional-record,context,false
R1:P:1300:C:r1,doi:10.1515/9781400888160-008,Mansā Mūsā and Global Mali,https://doi.org/10.1515/9781400888160-008,"African Dominion, ch.6, esp. discussion of Sākūra around pp.98–99",ibn-khaldun-sakura-tradition,supports_and_qualifies,true
R1:P:1300:C:r1,doi:10.2307/3171932,"History, Oral Transmission and Structure in Ibn Khaldun's Chronology of Mali Rulers",https://doi.org/10.2307/3171932,"History in Africa 23, pp.17–28; extract and notes on Sekure/servile oral tradition",ibn-khaldun-plus-mande-source-criticism,qualifies,true
R1:P:1300:C:r1,doi:10.1017/S002185370000428X,The Thirteenth- and Fourteenth-Century Kings of Mali,https://doi.org/10.1017/S002185370000428X,"Journal of African History 4(3), pp.341–353",ibn-khaldun-sakura-tradition,context,false
R1:P:1300:C:r1,doi:10.2307/3171998,Searching for History in the Sunjata Epic: The Case of Fakoli,https://doi.org/10.2307/3171998,"History in Africa 19, pp.147–200; discussion of Sakura/mawlā and servile-status alternatives",mande-sakura-status-traditions,qualifies,true
R1:L:1800:A,USCensus-1801-Return-1800,Return of the Whole Number of Persons within the Several Districts of the United States,https://www.census.gov/library/publications/1801/dec/return.html,1800 district/territory tables; slave column,us-1800-census,supports,true
R1:L:1800:A,USCensus-1800-Questionnaire-Instructions,1800 Census Questionnaires & Instructions,https://www.census.gov/programs-surveys/decennial-census/technical-documentation/questionnaires.1800_Census.html,Index of Questions; Census Day/authorizing act,us-1800-census,supports,false
R1:L:1800:A,USCensus-America250-1800-summary-2026,"As America Turns 250 Years Old, the Census is Not Far Behind at 236",https://www.census.gov/library/stories/2026/06/america-counts-250-years.html,1800 population summary,us-1800-census,supports,false
R1:P:500:F:r1,doi:10.1017/9781139024723.012,Slavery in Medieval Korea,https://doi.org/10.1017/9781139024723.012,"Cambridge World History of Slavery vol.2, chapter 12, pp.295–312",kye-medieval-korea-slavery,context_and_qualifies,true
R1:P:500:F:r1,doi:10.35221/tamla.2018..57.003,The Historical Understanding of Research and Major Issue of Tamna in Ancient,https://doi.org/10.35221/tamla.2018..57.003,"Tamla Culture 57, pp.87–121",jang-ancient-tamna,context,false
R1:P:500:F:r1,doi:10.21490/jskh.2022.11.89.323,Reexamination of the title of ancient Tamna,https://doi.org/10.21490/jskh.2022.11.89.323,"Journal of Korean History 89, pp.323–356; abstract and chronology",jang-ancient-tamna,context,false
R1:L:COV2:1300:E,doi:10.1017/9781139024723.013,Slavery and Dependency in Medieval South India,https://doi.org/10.1017/9781139024723.013,"Cambridge World History of Slavery vol.2, ch.13, pp.313–334; esp. pp.320–327 on atimai, thirteenth-century slave references and their Thanjavur concentration",orr-medieval-tamil-slavery,supports_and_qualifies,true
R1:L:COV2:1300:E,isbn:9780195099621,"Donors, Devotees, and Daughters of God: Temple Women in Medieval Tamilnadu",https://global.oup.com/academic/product/donors-devotees-and-daughters-of-god-9780195099621,terminological discussion of atiyar/atimai and temple women; notes around pp.52–57 and 216,orr-medieval-tamil-slavery,supports_and_qualifies,false
R1:L:COV2:1300:E,SII-v22-Pandya-corpus,"South Indian Inscriptions, Volume XXII — Pandya inscriptions",https://www.whatisindia.com/inscriptions/south_indian_inscriptions/volume_22/part_2/maravarman_sundara_pandya_1.html,Pandya inscription index/records; targeted C2 check for contemporaneous polity records,asi-sii-pandya-inscriptions,context_and_search_limit,false
R1:L:COV2:1300:E,DHARMA_INStfaSIIv04p0i0144@2a5b199,"Cēlam, Cukavaṉēśvara, pillar inscription, time of Sundara Pāṇḍya, year 26",https://dharmalekha.info/texts/INStfaSIIv04p0i0144,DHARMA_INStfaSIIv04p0i0144; digital edition version 2a5b199,asi-sii-pandya-inscriptions,context,false
R1:L:COV2:1300:B,doi:10.1179/009346983791504246,Imperialist Expansion in Peruvian Prehistory: Chimu Administration of a Conquered Territory,https://doi.org/10.1179/009346983791504246,"Journal of Field Archaeology 10(3), pp.255–283; abstract/model of state control and tribute/labor service",keatinge-conrad-chimu-political-economy,supports,true
R1:L:COV2:1300:B,Mackey-1987-Chimu-administration-provinces,Chimu Administration in the Provinces,https://ehrafarchaeology.yale.edu/traditions/se75/documents/038,"The Origins and Development of the Andean State, pp.121–129; eHRAF publication metadata/abstract",mackey-chimu-administration,supports_and_qualifies,true
R1:L:COV2:1300:B,doi:10.5744/florida/9780813066141.003.0010,"Fisherman, Farmer, Rich Man, Poor Man, Weaver, Parcialidad Chief? Household Archaeology at Cerro la Virgen, a Chimú Town within the Hinterland of Chan Chan",https://doi.org/10.5744/florida/9780813066141.003.0010,"Maritime Communities of the Ancient Andes, ch.10, pp.267–300; discussion/conclusion on labor-tax models and household autonomy",billman-et-al-cerro-la-virgen,qualifies,true
