target_id,target_label,anchor,origin,review_disposition,admitted,review_reason,failure_guards,dependency_or_scope_note
R1:N:maori_1700,Māori communities in Aotearoa,1700,EXP-08,ACCEPT_INTERNAL_REVIEW,true,Traditional/pre-contact war-captive unfreedom is supported while exact 1700 cross-iwi/hapu distribution and category equivalence remain unresolved.,target_specificity;temporal_applicability;status_mapping,No one Māori polity/regime; no Musket Wars back-projection.
R1:P:500:C:r1,Nobatia,500 CE,EXP-08,ACCEPT_INTERNAL_REVIEW,true,"Royal human/retainer sacrifice near the anchor is supported while slave status, polity-wide slaveholding and external trade remain unresolved.",status_mapping;inference_extent;temporal_applicability,Retainer sacrifice != slave status; later baqt not back-projected.
"R1:P:-500:F:r2","Qi","500 BCE","EXP-08 resumed under #262","ACCEPT_INTERNAL_REVIEW","true","The complete packet correctly leaves Qi territorial slavery/servitude researched-inconclusive while preserving the Yue Shifu narrative only as near-anchor contextual evidence. The Zhongmou locus, composite transmission, category uncertainty and exact-anchor limits are explicit.","target_context_leakage;temporal_leakage;status_mapping;source_dependency;geometry_inference","Acceptance validates the bounded inconclusive evidence state, not a positive Qi slavery claim. Three Yue Shifu textual witnesses remain one narrative family."
"R1:N:swahili_1400","Swahili maritime trade network","1400","overnight #262","ACCEPT_INTERNAL_REVIEW","true","Multiple evidence types support medieval network participation in slave trading around the anchor while the packet keeps node-specific local slavery, network participation, coast-wide territorial practice and trade scale separate.","network_territorial_leakage;inference_extent;temporal_applicability;source_dependency;prevalence_inference","Network-positive only. Kilwa/Songo Mnara do not generalize to every Swahili node; later Zanzibar plantation scale is excluded."
"R1:N:ifugao_1700","Ifugao communities, northern Luzon","1700","overnight #262","ACCEPT_INTERNAL_REVIEW","true","The packet does not project Barton’s later traditional ethnography into 1700. It records exact-anchor slavery/status as researched-inconclusive while preserving independently supported seventeenth/eighteenth-century social context and later child-sale/debt-bondage/slaveholding evidence.","temporal_leakage;status_mapping;target_specificity;inference_extent;source_dependency","Acceptance validates the exact-anchor inconclusive result. Barton 1919/1922 remain one evidence family; IAP archaeology does not become slave-status proof."
"R1:P:1800:E:r1","Khanate of Kokand","1800","overnight #262","ACCEPT_INTERNAL_REVIEW","true","The packet explicitly refuses to back-project 1820s/1830s Kokand captive enslavement into 1800 and excludes Bukhara/Khiva as territorial substitutes. The broader-period positive and small-scale specialist context are retained without exact-anchor promotion.","temporal_leakage;target_context_leakage;status_mapping;source_dependency;inference_extent","Acceptance validates the exact-1800 inconclusive state, not an exact-anchor positive. Prisoner/conscript status and later territorial expansion remain non-inferred."
"R1:P:1300:D:r1","Grand Duchy of Lithuania","1300 CE","EXP-09","ACCEPT_INTERNAL_REVIEW","true","The packet supports a bounded unfree-household/slavery category in grand-ducal court structures across the late-thirteenth/fourteenth-century horizon while explicitly separating ordinary dues/labour, external raid captivity, later serfdom/statutory categories, and polity-wide prevalence.","temporal_leakage;status_mapping;target_context_leakage;inference_extent;source_dependency;geometry_inference","Acceptance is limited to institutional presence in at least part of the grand-ducal court/domain economy around 1300. Jeroschin/Peter of Dusburg remains one chronicle family; VLE/Jurginis remains one historiographic lineage."
"R1:N:karnak_amun_m1000","Temple of Amun at Karnak","1000 BCE","EXP-11","ACCEPT_INTERNAL_REVIEW","true","The complete packet correctly leaves selected-anchor Temple-of-Amun slavery/unfree labour researched-inconclusive while preserving earlier New Kingdom target-positive evidence and near-anchor Amun-linked subordinate/service/property context without crossing unsupported temporal, terminology, ethnicity, owner/locus or object/person bridges.","temporal_leakage;status_mapping;institution_owner_locus_leakage;target_context_leakage;source_dependency;geometry_inference;absence_inference","Acceptance validates the bounded inconclusive evidence state, not a positive 1000 BCE slavery claim."
"R1:N:sapmi_1600","Sápmi / Sámi communities","1600 CE","EXP-12","ACCEPT_INTERNAL_REVIEW","true","The packet supports bounded state-imposed coercive fiscal/jurisdictional extraction and specific capture/displacement near the anchor while explicitly refusing to convert taxation, Crown employment, capture, later mining corvée or one state jurisdiction into Sápmi-wide slavery. Internal Sámi slavery remains unestablished rather than absent.","actor_direction;coercion_slavery_collapse;capture_status_inflation;target_context_leakage;temporal_leakage;source_dependency;geometry_inference;absence_inference","Acceptance validates the dimensionally bounded coercion result, not a slavery classification for Sámi communities."
"R1:N:todaiji_800","Tōdai-ji","800 CE","EXP-13","ACCEPT_INTERNAL_REVIEW","true","A target-specific 792 Tōdai petition releasing named 奴 into 良 status provides a near-anchor bridge for legally non-free 奴/奴婢 presence. Earlier Tōdai slave-register material and specialist scholarship support the institutional background, while construction/corvée labour, mid-century scale, later shōen and later Yōroku duties remain excluded from the claim.","temporal_leakage;status_mapping;institution_owner_locus_leakage;target_context_leakage;source_dependency;inference_extent;geometry_inference","Acceptance is limited to near-anchor institutional status presence. It does not establish an exact-800 roster, workforce prevalence, all temple/estate labour as slave, or practice geometry."
"R1:N:trans_saharan_1300","Trans-Saharan trade network","1300 CE","EXP-14","ACCEPT_INTERNAL_REVIEW","true","The packet establishes actual enslaved-person movement through a bounded trans-Saharan corridor using direct 1353 caravan evidence plus specialist medieval/fourteenth-century system framing, while explicitly refusing exact-1300 volume, all-route uniformity, node-to-network prevalence and later-scale back-projection.","temporal_leakage;network_territorial_leakage;count_inflation;target_context_leakage;source_dependency;geometry_inference","Acceptance is limited to medieval/fourteenth-century network participation spanning the anchor. Ibn Battuta/Wright/El Hamel caravan references are one primary event chain; 600 is not annualized."
